Date,Open,High,Low,Close,Volume,Marketcap,
2025-08-08,117505.4974,117689.2015,115917.4581,116688.7254,59713005166,2322340000000 ,
2025-08-07,115030.0522,117676.9055,114279.712,117496.8974,64051649681,2338760000000 ,
2025-08-06,114140.9136,115737.8332,113372.249,115027.9964,56379133510,2289430000000 ,
2025-08-05,115072.1846,115117.4359,112701.1104,114141.4417,61039182286,2271680000000 ,
2025-08-04,114223.9233,115729.472,114130.4032,115071.8843,35783028986,2290170000000 ,
2025-08-03,112525.8033,114747.4234,111943.8044,114217.673,48099615826,2273230000000 ,
2025-08-02,113320.3944,114021.6051,112005.7691,112526.9146,56870866000,2239370000000 ,
2025-08-01,115738.9552,116060.7726,112724.443,113320.086,91294530181,2255140000000 ,
2025-07-31,117833.6296,118919.9847,115505.2223,115758.2039,69370346018,2303210000000 ,
2025-07-30,117921.9941,118780.7267,115800.8268,117831.1914,68896148592,2344840000000 ,
2025-07-29,117938.5844,119273.8701,116987.3709,117922.1478,68463107433,2346550000000 ,
2025-07-28,119457.522,119819.7899,117441.4375,117924.473,64822943193,2346840000000 ,
2025-07-27,117944.7297,119815.5973,117859.687,119448.4903,54683390892,2377010000000 ,
2025-07-26,117644.8441,118335.6855,117181.2278,117947.3662,48508954046,2346860000000 ,
2025-07-25,118368.0032,118486.9789,114759.8232,117635.8811,1.05E+11,2340830000000 ,
2025-07-24,118770.9815,119535.4547,117247.9722,118368.0032,72627318560,2355160000000 ,
2025-07-23,119997.4427,120113.3505,117391.3908,118754.9572,66608604537,2363130000000 ,
2025-07-22,117426.4982,120269.9665,116233.2262,119995.4156,79217583118,2387480000000 ,
2025-07-21,117306.467,119671.5641,116584.4004,117439.5358,69820091744,2336270000000 ,
2025-07-20,117944.1092,118865.0341,116550.1361,117300.7857,57515447231,2333820000000 ,
2025-07-19,117998.1274,118541.4017,117388.4107,117939.9787,47564562765,2346460000000 ,
2025-07-18,119284.1118,120851.9178,116925.9812,118003.2245,77945799785,2347480000000 ,
2025-07-17,118738.506,120999.6072,117508.216,119289.8422,72363841798,2373010000000 ,
2025-07-16,117777.189,120065.5187,117064.8216,118738.506,72162029070,2362110000000 ,
2025-07-15,119853.8485,119935.5604,115765.6867,117777.189,98321661181,2342930000000 ,
2025-07-14,119115.7875,123091.6128,118959.1968,119849.7057,1.82E+11,2384180000000 ,
2025-07-13,117432.2008,119449.5719,117265.4379,119116.1175,49021091807,2369440000000 ,
2025-07-12,117530.7129,118219.9,116977.0237,117435.2301,45524560304,2335910000000 ,
2025-07-11,115986.2348,118856.4737,115245.6863,117516.9937,86928361085,2337810000000 ,
2025-07-10,111329.196,116608.7847,110660.7495,115987.2062,95911605728,2307030000000 ,
2025-07-09,108950.2755,111925.3769,108357.682,111326.5513,57927418065,2214340000000 ,
2025-07-08,108298.229,109198.9716,107499.5565,108950.2755,44282204127,2166970000000 ,
2025-07-07,109235.328,109710.2498,107527.0572,108299.8511,45415696597,2153960000000 ,
2025-07-06,108231.1838,109731.6259,107847.0172,109232.0697,36746020463,2172540000000 ,
2025-07-05,108015.8392,108381.3402,107842.2751,108231.182,30615537520,2152510000000 ,
2025-07-04,109635.6552,109751.9875,107296.38,108034.339,42616442656,2148180000000 ,
2025-07-03,108845.0129,110541.4616,108605.7956,109647.9788,50494742270,2180340000000 ,
2025-07-02,105703.0999,109763.6535,105157.3956,108859.3239,56248657737,2164560000000 ,
2025-07-01,107144.3826,107550.6787,105270.2266,105698.2781,44110692247,2102030000000 ,
2025-06-30,108383.4412,108798.7919,106759.6503,107135.3345,42064804590,2130650000000 ,
2025-06-29,107327.8224,108526.307,107230.1105,108385.5701,35534874438,2155240000000 ,
2025-06-28,107090.5489,107567.8816,106883.9733,107327.7032,30037708335,2134190000000 ,
2025-06-27,106954.9233,107772.4715,106449.9941,107088.4302,45353692675,2129420000000 ,
2025-06-26,107375.0706,108305.543,106666.3498,106960.0033,43891990613,2126690000000 ,
2025-06-25,106047.4032,108168.4003,105881.3894,107361.2608,51624120283,2134990000000 ,
2025-06-24,105571.5178,106316.8286,104740.2421,106045.6321,48822986421,2108540000000 ,
2025-06-23,100987.4731,106116.8623,99705.747,105577.772,65237759656,2099050000000 ,
2025-06-22,102212.0349,103351.6304,98286.20593,100987.1395,65536997201,2007870000000 ,
2025-06-21,103315.0806,104015.7801,100973.0642,102257.4087,38360555118,2032180000000 ,
2025-06-20,104681.033,106539.3839,102372.211,103309.6041,50951862476,2054070000000 ,
2025-06-19,104886.7743,105250.8923,103940.7752,104684.286,37333806920,2081170000000 ,
2025-06-18,104602.0686,105581.8531,103602.2618,104883.3269,47318089133,2085150000000 ,
2025-06-17,106794.1209,107750.1941,103396.528,104601.1168,55964092176,2079280000000 ,
2025-06-16,105555.5929,108915.3756,104997.6212,106796.7572,50366626945,2122850000000 ,
2025-06-15,105464.8401,106157.0984,104519.8802,105552.027,36744307742,2098230000000 ,
2025-06-14,106108.0852,106203.756,104379.3652,105472.4087,38007870453,2096430000000 ,
2025-06-13,105924.5906,106182.546,102822.0258,106090.9664,69550440846,2109220000000 ,
2025-06-12,108685.9104,108780.6974,105785.6887,105929.0513,54843867968,2105570000000 ,
2025-06-11,110261.7963,110384.221,108086.3279,108686.6277,50842662052,2160420000000 ,
2025-06-10,110295.6877,110380.1214,108367.7134,110257.2377,54700101509,2191690000000 ,
2025-06-09,105793.0212,110561.4198,105400.2309,110294.0991,55903193732,2192310000000 ,
2025-06-08,105617.5094,106497.0598,105075.3305,105793.6502,36626232328,2102770000000 ,
2025-06-07,104390.6448,105972.7541,103987.3118,105615.6263,38365033776,2099230000000 ,
2025-06-06,101574.3671,105376.7734,101169.5724,104390.3469,48856653697,2074800000000 ,
2025-06-05,104750.7801,105936.6902,100436.8859,101575.9523,57479298400,2018780000000 ,
2025-06-04,105434.3683,105997.6923,104232.6999,104731.9833,44544857105,2081860000000 ,
2025-06-03,105888.4735,106813.579,104920.8441,105432.4701,46196508367,2095410000000 ,
2025-06-02,105649.8096,105958.3134,103727.5471,105881.5339,45819706290,2104390000000 ,
